Weather Scenario,Year,EVA category 1,Average of Value
WS15,2035,Gas CCGT 58,1320.9
WS16,2035,Gas CCGT 58,1027.0
WS17,2035,Gas CCGT 58,1641.4
WS18,2035,Gas CCGT 58,1161.6
WS19,2035,Gas CCGT 58,1424.2
WS20,2035,Gas CCGT 58,615.4
WS21,2035,Gas CCGT 58,1037.2
WS22,2035,Gas CCGT 58,1032.6
WS23,2035,Gas CCGT 58,1446.5
WS24,2035,Gas CCGT 58,807.4
WS25,2035,Gas CCGT 58,1607.7
WS26,2035,Gas CCGT 58,968.6
WS27,2035,Gas CCGT 58,1018.6
WS28,2035,Gas CCGT 58,1268.1
WS29,2035,Gas CCGT 58,1260.4
WS30,2035,Gas CCGT 58,1006.8
WS31,2035,Gas CCGT 58,1327.7
WS32,2035,Gas CCGT 58,1611.7
WS33,2035,Gas CCGT 58,988.2
WS34,2035,Gas CCGT 58,689.2
WS35,2035,Gas CCGT 58,1007.9
WS36,2035,Gas CCGT 58,1016.8
WS01,2028,Nuclear,6388.2
WS02,2028,Nuclear,6412.7
WS03,2028,Nuclear,6289.3
WS04,2028,Nuclear,6528.6
WS05,2028,Nuclear,6511.3
WS06,2028,Nuclear,6273.7
WS07,2028,Nuclear,6354.7
WS08,2028,Nuclear,6104.7
WS09,2028,Nuclear,6544.9
WS10,2028,Nuclear,6267.8
WS11,2028,Nuclear,6343.6
WS12,2028,Nuclear,6368.4
WS13,2028,Nuclear,6403.9
WS14,2028,Nuclear,6210.8
WS15,2028,Nuclear,6456.1
WS16,2028,Nuclear,5748.9
WS17,2028,Nuclear,6425.4
WS18,2028,Nuclear,6319.6
WS19,2028,Nuclear,6053.1
WS20,2028,Nuclear,6305.9
WS21,2028,Nuclear,6073.3
WS22,2028,Nuclear,5797.1
WS23,2028,Nuclear,6473.5
WS24,2028,Nuclear,5618.7
WS25,2028,Nuclear,6163.8
WS26,2028,Nuclear,5988.6
WS27,2028,Nuclear,6373.9
WS28,2028,Nuclear,6156.9
WS29,2028,Nuclear,6338.3
WS30,2028,Nuclear,6450.4
WS31,2028,Nuclear,6388.5
WS32,2028,Nuclear,5819.6
WS33,2028,Nuclear,5920.8
WS34,2028,Nuclear,6151.0
WS35,2028,Nuclear,6565.9
WS36,2028,Nuclear,6437.5
WS01,2030,Nuclear,6322.7
WS02,2030,Nuclear,6260.5
WS03,2030,Nuclear,6191.4
