Weather Scenario,Year,EVA category 1,Average of Value
WS13,2028,Nuclear,6540.8
WS14,2028,Nuclear,6380.8
WS15,2028,Nuclear,6540.8
WS16,2028,Nuclear,5943.6
WS17,2028,Nuclear,6548.2
WS18,2028,Nuclear,6433.9
WS19,2028,Nuclear,6166.2
WS20,2028,Nuclear,6460.9
WS21,2028,Nuclear,6232.8
WS22,2028,Nuclear,6043.9
WS23,2028,Nuclear,6575.8
WS24,2028,Nuclear,5846.8
WS25,2028,Nuclear,6313.2
WS26,2028,Nuclear,6133.4
WS27,2028,Nuclear,6503.2
WS28,2028,Nuclear,6305.3
WS29,2028,Nuclear,6456.9
WS30,2028,Nuclear,6541.1
WS31,2028,Nuclear,6511.6
WS32,2028,Nuclear,5981.9
WS33,2028,Nuclear,6051.4
WS34,2028,Nuclear,6318.8
WS35,2028,Nuclear,6699.2
WS36,2028,Nuclear,6556.4
WS01,2030,Nuclear,6437.1
WS02,2030,Nuclear,6346.2
WS03,2030,Nuclear,6295.6
WS04,2030,Nuclear,6507.7
WS05,2030,Nuclear,6530.3
WS06,2030,Nuclear,6411.5
WS07,2030,Nuclear,6377.0
WS08,2030,Nuclear,6068.1
WS09,2030,Nuclear,6392.3
WS10,2030,Nuclear,6452.4
WS11,2030,Nuclear,6366.1
WS12,2030,Nuclear,6520.0
WS13,2030,Nuclear,6241.6
WS14,2030,Nuclear,6284.6
WS15,2030,Nuclear,6454.6
WS16,2030,Nuclear,5849.7
WS17,2030,Nuclear,6459.0
WS18,2030,Nuclear,6532.0
WS19,2030,Nuclear,6324.3
WS20,2030,Nuclear,6226.5
WS21,2030,Nuclear,6263.7
WS22,2030,Nuclear,5959.5
WS23,2030,Nuclear,6544.8
WS24,2030,Nuclear,5695.5
WS25,2030,Nuclear,6331.2
WS26,2030,Nuclear,6029.1
WS27,2030,Nuclear,6289.1
WS28,2030,Nuclear,6366.1
WS29,2030,Nuclear,6223.6
WS30,2030,Nuclear,6475.3
WS31,2030,Nuclear,6253.1
WS32,2030,Nuclear,5858.0
WS33,2030,Nuclear,6075.5
WS34,2030,Nuclear,6259.1
WS35,2030,Nuclear,6412.7
WS36,2030,Nuclear,6548.2
WS01,2033,Nuclear,6150.4
WS02,2033,Nuclear,6056.0
WS03,2033,Nuclear,5746.7
WS04,2033,Nuclear,6282.6
WS05,2033,Nuclear,6227.7
WS06,2033,Nuclear,6045.1
WS07,2033,Nuclear,6026.3
WS08,2033,Nuclear,5501.4
WS09,2033,Nuclear,6008.3
WS10,2033,Nuclear,6185.7
WS11,2033,Nuclear,6248.0
WS12,2033,Nuclear,6348.5
WS13,2033,Nuclear,6066.0
WS14,2033,Nuclear,5807.0
WS15,2033,Nuclear,6197.3
WS16,2033,Nuclear,5341.2
WS17,2033,Nuclear,6014.5
WS18,2033,Nuclear,6053.7
WS19,2033,Nuclear,5719.0
WS20,2033,Nuclear,5842.9
WS21,2033,Nuclear,5781.6
WS22,2033,Nuclear,5330.0
WS23,2033,Nuclear,6170.6
WS24,2033,Nuclear,5023.2
WS25,2033,Nuclear,6180.7
